"index";"Company";"TypeName";"Inches";"screen_size";"Resolution_width";"Resolution_height";"IPS_panel";"Touchscreen";"Cpu_brand";"Cpu_name";"Cpu_speed";"Ram";"Memory_type";"Primary_storage";"secondary_storage";"gpu_brand";"gpu_name";"OpSys";"Weight";"Price";"ppi"
1;"Asus";"Notebook";17.3;"large";1366;768;0;0;"Intel";"Pentium Quad";"1.10";4;"HDD";"1024";"0";"Nvidia";" GeForce 920MX";"window";2.8;21046;91
2;"Apple";"Ultrabook";13.3;"small";2560;1600;1;0;"Intel";"Core i5";"2.30";8;"SSD";"128";"0";"Intel";" Iris Plus Graphics 640";"macos";1.37;71875;227
3;"Acer";"Notebook";15.6;"medium";1920;1080;1;0;"Intel";"Core i7";"1.80";8;"SSD";"256";"0";"Nvidia";" GeForce MX150";"window";2.2;26587;141
4;"HP";"Notebook";15.6;"medium";1920;1080;0;0;"AMD";"A6-Series 9220";"2.50";4;"SSD";"256";"0";"AMD";" Radeon R4 Graphics";"window";1.86;52161;141
5;"HP";"Notebook";13.3;"small";1920;1080;0;0;"Intel";"Core i7";"1.80";8;"SSD";"512";"0";"Intel";" UHD Graphics 620";"window";1.49;53227;166
6;"Acer";"Notebook";15.6;"medium";1366;768;0;0;"Intel";"Core i3";"2.40";4;"HDD";"1024";"0";"Intel";" HD Graphics 620";"window";2.4;37243;100
7;"Dell";"Notebook";15.6;"medium";1920;1080;0;0;"Intel";"Core i7";"1.80";8;"SSD";"256";"0";"AMD";" Radeon 520";"window";2.13;13746;141
8;"HP";"Notebook";15.6;"medium";1920;1080;0;0;"Intel";"Core i3";"2.00";4;"SSD";"128";"0";"Intel";" HD Graphics 520";"window";1.91;31914;141
9;"Asus";"Notebook";15.6;"medium";1366;768;0;0;"Intel";"Core i5";"2.50";4;"SSD";"256";"0";"Intel";" HD Graphics 620";"window";2.0;43636;100
10;"MSI";"Gaming";17.3;"large";1920;1080;0;0;"Intel";"Core i7";"2.80";16;"Hybrid";"256";"2048";"Nvidia";" GeForce GTX 1070";"window";2.43;77203;127
11;"Apple";"Ultrabook";13.3;"small";1440;900;0;0;"Intel";"Core i5";"1.80";8;"Flash Storage";"128";"0";"Intel";" HD Graphics 6000";"macos";1.34;87859;128
12;"Asus";"Notebook";15.6;"medium";1920;1080;0;0;"Intel";"Core i3";"2.00";4;"SSD";"256";"0";"Intel";" HD Graphics 520";"linux";2.0;35112;141
13;"Dell";"Notebook";17.3;"large";1920;1080;0;0;"Intel";"Core i7";"1.80";16;"Hybrid";"256";"2048";"AMD";" Radeon 530";"window";2.8;37243;127
14;"HP";"Notebook";15.6;"medium";1920;1080;0;0;"Intel";"Core i5";"2.50";8;"SSD";"256";"0";"Intel";" HD Graphics 620";"N/A";1.86;36710;141
15;"Apple";"Ultrabook";15.4;"medium";2880;1800;1;0;"Intel";"Core i7";"2.70";16;"SSD";"512";"0";"AMD";" Radeon Pro 455";"macos";1.83;63776;221
16;"Apple";"Ultrabook";13.3;"small";2560;1600;1;0;"Intel";"Core i5";"3.10";8;"SSD";"256";"0";"Intel";" Iris Plus Graphics 650";"macos";1.37;22305;227
17;"Acer";"Notebook";15.6;"medium";1366;768;0;0;"AMD";"A9-Series 9420";"3.00";4;"HDD";"500";"0";"AMD";" Radeon R5";"window";2.1;63670;100
18;"Apple";"Ultrabook";15.4;"medium";2880;1800;1;0;"Intel";"Core i7";"2.20";16;"Flash Storage";"256";"0";"Intel";" Iris Pro Graphics";"macos";2.04;58555;221
19;"Apple";"Ultrabook";13.3;"small";1440;900;0;0;"Intel";"Core i5";"1.80";8;"Flash Storage";"256";"0";"Intel";" HD Graphics 6000";"macos";1.34;55891;128
20;"Asus";"Ultrabook";14.0;"medium";1920;1080;0;0;"Intel";"Core i7";"1.80";16;"SSD";"512";"0";"Nvidia";" GeForce MX150";"window";1.3;42624;157
21;"Acer";"Ultrabook";14.0;"medium";1920;1080;1;0;"Intel";"Core i5";"1.60";8;"SSD";"256";"0";"Intel";" UHD Graphics 620";"window";1.6;45128;157
22;"HP";"Notebook";15.6;"medium";1366;768;0;0;"Intel";"Core i5";"2.50";4;"HDD";"500";"0";"Intel";" HD Graphics 620";"N/A";1.86;69157;100
23;"Dell";"Ultrabook";14.0;"medium";1920;1080;0;0;"Intel";"Core i5";"1.60";8;"SSD";"256";"0";"Intel";" UHD Graphics 620";"window";1.7;31963;157
24;"HP";"Notebook";15.6;"medium";1920;1080;0;0;"Intel";"Core i3";"2.00";4;"HDD";"500";"0";"Intel";" HD Graphics 520";"N/A";1.86;47739;141
25;"Lenovo";"Notebook";14.0;"medium";1920;1080;1;0;"Intel";"Core i3";"2.70";8;"SSD";"256";"0";"Intel";" HD Graphics 620";"N/A";1.7;25841;157
26;"Asus";"Notebook";14.0;"medium";1920;1080;0;0;"Intel";"Core i5";"1.60";8;"SSD";"256";"0";"Intel";" UHD Graphics 620";"window";1.4;13053;157
27;"HP";"Notebook";15.6;"medium";1920;1080;0;0;"Intel";"Core i5";"2.50";8;"SSD";"256";"0";"Intel";" HD Graphics 620";"window";1.86;30743;141
28;"Apple";"Ultrabook";15.4;"medium";2880;1800;1;0;"Intel";"Core i7";"2.80";16;"SSD";"256";"0";"AMD";" Radeon Pro 555";"macos";1.83;10603;221
29;"Asus";"Ultrabook";15.6;"medium";1920;1080;0;0;"Intel";"Core i7";"2.80";16;"SSD";"512";"0";"Nvidia";" GeForce GTX 1050 Ti";"window";1.8;23390;141
30;"Dell";"Notebook";15.6;"medium";1920;1080;0;0;"Intel";"Core i3";"2.00";4;"SSD";"256";"0";"AMD";" Radeon R5 M430";"window";2.2;66547;141
31;"HP";"Notebook";15.6;"medium";1366;768;0;0;"Intel";"Core i3";"2.00";4;"HDD";"500";"0";"AMD";" Radeon 520";"window";1.86;99580;100
32;"Apple";"Ultrabook";12.0;"small";2304;1440;1;0;"Intel";"Core M";"1.20";8;"SSD";"256";"0";"Intel";" HD Graphics 615";"macos";0.92;38308;226
33;"Apple";"Ultrabook";13.3;"small";2560;1600;1;0;"Intel";"Core i5";"2.30";8;"SSD";"256";"0";"Intel";" Iris Plus Graphics 640";"macos";1.37;53173;227
